jugador,elo_actual_total,elo_maximo_total,elo_actual_tierra,elo_actual_hierba,elo_actual_dura,elo_maximo_tierra,elo_maximo_hierba,elo_maximo_dura,activo,elo
alfredo acuna,1446.83,1500.0,1441.74,1500.0,1500.0,1500.0,1500.0,1500.0,0,1446.83
ifthekar sardar,1400.81,1500.0,1500.0,1500.0,1398.59,1500.0,1500.0,1500.0,0,1400.81
hector romani,1486.01,1500.0,1483.55,1500.0,1500.0,1500.0,1500.0,1500.0,0,1486.01
pedro barrios,1491.66,1500.0,1490.4,1500.0,1500.0,1500.0,1500.0,1500.0,0,1491.66
rudolf hoskowetz,1511.76,1523.62,1507.35,1500.0,1500.0,1520.84,1500.0,1500.0,0,1511.76
andrew painter,1499.04,1500.0,1500.0,1492.14,1500.0,1500.0,1500.0,1500.0,0,1499.04
goran prpic,1640.61,1950.86,1619.42,1460.52,1593.89,1909.36,1500.0,1633.13,0,1640.61
zachary svajda,1477.79,1505.57,1500.0,1486.03,1472.21,1500.0,1500.0,1500.0,1,1477.79
martin valenti,1486.51,1500.0,1486.39,1500.0,1500.0,1500.0,1500.0,1500.0,0,1486.51
ivo lagzdins,1453.88,1500.0,1467.59,1500.0,1486.18,1500.0,1500.0,1500.0,0,1453.88
andy brothers,1517.3,1517.3,1500.0,1500.0,1515.39,1500.0,1500.0,1515.39,0,1517.3
chris wilkinson,1507.92,1591.62,1500.08,1483.06,1398.32,1518.09,1562.05,1500.0,0,1507.92
rafael ruiz,1467.07,1507.94,1459.94,1500.0,1500.0,1500.84,1500.0,1500.0,0,1467.07
bob perrin,1484.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
adam hornby,1453.15,1500.0,1469.05,1500.0,1484.85,1500.0,1500.0,1500.0,0,1453.15
alan frey,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
mike kernodie,1468.96,1500.0,1488.16,1481.91,1500.0,1500.0,1500.0,1500.0,0,1468.96
rodney harmon,1552.47,1748.34,1510.72,1500.65,1574.62,1579.31,1589.62,1676.48,0,1552.47
gianluca naso,1445.58,1500.81,1431.21,1500.0,1500.0,1501.12,1500.0,1500.0,0,1445.58
carlos behar,1480.17,1500.0,1481.98,1500.0,1500.0,1500.0,1500.0,1500.0,0,1480.17
chris wells,1484.09,1500.0,1500.0,1484.33,1500.0,1500.0,1500.0,1500.0,0,1484.09
jose bernard,1516.1,1516.1,1499.33,1500.0,1516.0,1500.0,1500.0,1516.0,0,1516.1
michael chang,1565.84,2111.97,1598.13,1569.16,1549.79,1913.81,1639.65,2096.68,0,1565.84
pedro cordeiro,1482.42,1516.0,1509.68,1465.17,1500.0,1516.0,1500.0,1500.0,0,1482.42
nicolas almagro,1689.89,1987.73,1713.71,1538.8,1623.44,1964.61,1585.53,1802.8,0,1689.89
tiago sousa,1490.35,1500.0,1485.79,1500.0,1500.0,1500.0,1500.0,1500.0,0,1490.35
charles buzz strode,1477.43,1541.44,1489.34,1474.95,1471.84,1522.26,1500.0,1526.81,0,1477.43
mik ledvonova,1519.82,1519.82,1515.86,1500.0,1500.51,1515.86,1500.0,1500.51,0,1519.82
sergi bruguera,1561.13,2088.68,1600.39,1517.95,1575.92,2099.03,1541.68,1849.51,0,1561.13
jorge lemann,1480.72,1500.0,1479.56,1500.0,1500.0,1500.0,1500.0,1500.0,0,1480.72
alexander kudryavtsev,1465.65,1522.5,1484.31,1475.23,1467.5,1500.0,1500.0,1526.92,0,1465.65
bernard frost,1516.0,1516.0,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,0,1516.0
rob kilderry,1502.1,1532.74,1500.0,1500.33,1500.0,1500.0,1532.74,1500.0,0,1502.1
richard hawkes,1442.4,1536.04,1450.3,1468.81,1465.03,1500.0,1518.63,1539.56,0,1442.4
j. rudman,1485.54,1500.0,1500.0,1500.0,1485.54,1500.0,1500.0,1500.0,0,1485.54
karim mohamed maamoun,1472.92,1514.58,1460.36,1500.0,1515.12,1514.52,1500.0,1515.12,0,1472.92
ricardas berankis,1619.81,1746.58,1463.68,1437.35,1626.12,1506.73,1516.0,1719.69,0,1619.81
relja fiser dulic,1485.49,1500.0,1485.94,1500.0,1500.0,1500.0,1500.0,1500.0,0,1485.49
arnold saul,1447.31,1500.0,1500.0,1500.0,1447.01,1500.0,1500.0,1500.0,0,1447.31
walter hodsdon,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
li tu,1428.19,1500.0,1500.0,1469.92,1425.93,1500.0,1500.01,1500.0,1,1428.19
scott mccain,1483.68,1558.79,1477.73,1419.81,1493.73,1500.0,1537.62,1537.17,0,1483.68
givaldo barbosa,1405.9,1500.0,1404.12,1417.06,1458.6,1500.0,1516.0,1508.61,0,1405.9
cyril suk,1401.02,1500.0,1437.91,1468.62,1448.43,1500.0,1500.0,1500.0,0,1401.02
rodrigo pacheco mendez,1513.61,1520.1,1516.0,1500.0,1479.93,1516.0,1500.0,1500.0,1,1513.61
wally masur,1587.73,1850.98,1557.13,1679.21,1574.97,1632.94,1783.42,1766.97,0,1587.73
joao cunha silva,1476.2,1558.17,1436.09,1459.25,1495.82,1575.13,1500.0,1512.26,0,1520.11
mauricio estivariz,1433.38,1500.0,1416.18,1500.0,1515.87,1500.0,1500.0,1515.87,0,1433.38
j. a. southworth,1466.84,1500.0,1500.0,1466.3,1500.0,1500.0,1500.0,1500.0,0,1466.84
sam vuille,1460.84,1500.0,1462.71,1500.0,1500.0,1500.0,1500.0,1500.0,0,1460.84
fredrik ask,1474.15,1500.0,1487.87,1500.0,1485.98,1500.0,1500.0,1500.0,0,1474.15
gerardo miceli,1490.32,1500.0,1486.98,1500.0,1500.0,1500.0,1500.0,1500.0,0,1490.32
jose perdomo,1484.74,1500.0,1500.0,1500.0,1484.74,1500.0,1500.0,1500.0,0,1484.74
diego junqueira,1448.27,1542.13,1432.86,1489.13,1490.44,1541.98,1500.0,1505.25,0,1448.27
rolandas murashka,1524.86,1542.06,1528.39,1500.0,1499.3,1528.39,1500.0,1515.27,0,1524.86
robert stuckert,1509.78,1515.95,1500.24,1500.0,1500.0,1516.01,1500.0,1500.0,0,1509.78
premjit lall,1539.19,1696.75,1502.01,1552.28,1456.57,1582.72,1646.25,1500.0,0,1539.19
james buckley,1474.3,1505.09,1500.0,1479.46,1484.25,1500.0,1505.44,1500.0,0,1474.3
andrew ilie,1470.55,1736.87,1575.16,1449.51,1478.45,1731.36,1538.04,1660.42,0,1470.55
juan-pablo guzman,1446.17,1515.94,1458.58,1467.52,1485.95,1515.46,1500.0,1514.63,0,1446.17
stanislav bykov,1467.68,1500.0,1500.0,1500.0,1469.17,1500.0,1500.0,1500.0,0,1467.68
mohammed faizal bin othman,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
ugo humbert,1718.19,1925.5,1448.66,1567.44,1830.58,1550.44,1673.43,1898.52,1,1718.19
julian krinsky,1535.53,1612.28,1469.82,1482.75,1558.7,1500.0,1516.0,1608.63,0,1535.53
nenad zimonjic,1428.06,1500.0,1430.73,1515.9,1395.41,1500.0,1531.32,1500.0,0,1428.06
alvin gardiner,1375.69,1524.85,1378.57,1344.24,1431.91,1528.85,1500.74,1521.78,0,1375.69
jiri vesely,1588.9,1768.28,1510.36,1584.48,1571.95,1707.88,1622.29,1614.16,1,1588.9
e.h. woodruff,1484.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,1500.0,0,1484.0
nick barone,1486.52,1500.0,1500.0,1490.1,1494.7,1500.0,1500.0,1500.0,0,1483.61
paul sullivan,1402.55,1516.0,1471.15,1410.78,1491.42,1516.0,1503.57,1500.0,0,1402.55
balaram singh,1486.28,1500.0,1500.0,1486.08,1500.0,1500.0,1500.0,1500.0,0,1486.28
richard ravreby,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1501.87
jim ward,1461.98,1539.48,1473.6,1498.1,1481.05,1500.0,1533.65,1500.0,0,1461.98
kunio tsukamoto,1502.02,1516.0,1497.71,1500.0,1500.0,1516.0,1500.0,1500.0,0,1502.02
christian lindell,1469.55,1500.0,1487.97,1500.0,1453.84,1500.0,1500.0,1500.0,0,1469.55
jose benitez,1515.33,1516.0,1499.33,1500.0,1516.0,1516.0,1500.0,1516.0,0,1515.33
melle van gemerden,1507.58,1518.93,1511.61,1503.48,1483.9,1532.04,1514.99,1512.41,0,1507.58
maximilian marterer,1498.37,1643.26,1485.59,1455.04,1475.3,1578.41,1500.0,1547.24,1,1498.37
viktor kazakevitch,1486.37,1500.0,1486.93,1493.3,1500.0,1500.0,1500.0,1500.0,0,1486.37
matei pampoulov,1514.58,1514.58,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,0,1514.58
pascal deniau,1510.77,1518.33,1500.0,1500.0,1504.36,1500.0,1500.0,1515.8,0,1510.77
robert ouwendijk,1484.0,1500.0,1500.0,1500.0,1484.0,1500.0,1500.0,1500.0,0,1484.0
christian hill,1483.4,1500.0,1500.0,1500.0,1483.18,1500.0,1500.0,1500.0,0,1483.4
sebastian fanselow,1491.51,1500.0,1486.52,1500.0,1500.0,1500.0,1500.0,1500.0,1,1491.51
j. bougher,1515.26,1532.0,1500.0,1515.26,1500.0,1500.0,1532.0,1500.0,0,1515.26
sascha kloer,1494.56,1500.0,1492.96,1500.0,1500.0,1500.0,1500.0,1500.0,0,1494.56
robert reininger,1461.63,1500.0,1418.14,1460.56,1498.82,1500.0,1500.0,1500.0,0,1461.63
steven wright,1487.45,1500.0,1500.0,1485.91,1500.0,1500.0,1500.0,1500.0,0,1487.45
carl uwe steeb,1523.43,1529.72,1523.54,1500.0,1500.0,1529.02,1500.0,1500.0,0,1507.17
christopher rungkat,1465.63,1516.0,1468.51,1500.0,1501.22,1516.0,1500.0,1517.4,0,1575.46
andis juska,1501.13,1534.34,1546.8,1500.0,1457.48,1546.8,1500.0,1500.0,0,1501.13
nuno borges,1701.25,1720.22,1648.58,1480.3,1630.63,1672.45,1500.0,1657.66,1,1701.25
john doran,1498.74,1516.4,1482.64,1500.0,1516.18,1514.75,1500.0,1516.18,0,1498.74
peter torebko,1472.85,1500.0,1468.81,1500.0,1500.0,1500.0,1500.0,1500.0,0,1472.85
digvijaypratap singh,1516.0,1516.0,1500.0,1500.0,1516.0,1500.0,1500.0,1516.0,0,1516.0
edan leshem,1459.28,1500.0,1517.06,1500.0,1444.46,1517.06,1500.0,1500.0,0,1459.28
lazaro navarro batles,1545.34,1582.43,1467.3,1500.0,1578.62,1500.0,1500.0,1582.12,0,1545.34
thomas fabbiano,1496.96,1601.06,1418.2,1564.79,1429.79,1500.0,1581.02,1532.42,0,1496.96
morris skip strode,1509.76,1575.55,1486.1,1422.6,1546.73,1505.48,1500.0,1589.05,0,1509.76
dominik hrbaty,1550.22,1911.01,1534.98,1424.81,1580.51,1833.16,1500.0,1830.8,0,1550.22
